lat;lon;signal
5.4377944;-4.0146408;-94.3
5.4378089;-4.0146024;-95.7
5.4378228;-4.0145753;-99.7
5.4378377;-4.0145548;-91.0
5.4378441;-4.0145602;-91.3
5.437845;-4.01456;-91.3
5.4378496;-4.0145398;-94.0
5.4378242;-4.0145162;-92.3
5.4378189;-4.0145008;-88.3
5.4378081;-4.0144731;-89.7
5.4377909;-4.014441;-88.0
5.4377866;-4.01442;-88.3
5.437793;-4.0143752;-84.3
5.4377821;-4.0143454;-88.3
5.437781;-4.0143073;-82.3
5.4377772;-4.0142688;-80.3
5.4377626;-4.0142242;-82.7
5.4377805;-4.0141897;-75.0
5.4378228;-4.0141661;-79.7
5.4378594;-4.0141715;-76.0
5.4379116;-4.0141775;-75.0
5.4379356;-4.014157;-74.7
5.4379464;-4.014114;-75.0
5.4379658;-4.0140721;-76.3
5.4379816;-4.0140643;-67.3
5.4379818;-4.0140601;-66.7
5.437968;-4.0140584;-76.3
5.4379653;-4.0140583;-76.3
5.437965;-4.0140583;-76.3
5.4379726;-4.0140491;-69.3
5.4379732;-4.0140484;-69.3
5.4379733;-4.0140483;-69.3
5.4380067;-4.0140728;-68.7
5.4380585;-4.0140599;-69.3
5.43811;-4.0140589;-67.3
5.4380625;-4.0140941;-74.7
5.4380826;-4.0140501;-70.0
5.4380876;-4.0140212;-63.0
5.438083;-4.0140191;-63.3
5.4380833;-4.0140198;-63.3
5.4380833;-4.01402;-63.3
5.438056;-4.0141777;-78.7
5.4380237;-4.0141814;-75.7
5.437973;-4.0141928;-75.0
5.4379354;-4.0141889;-77.3
5.4378973;-4.0141786;-73.7
5.4378586;-4.0141883;-77.0
5.4378269;-4.0142083;-79.3
5.4377992;-4.014238;-77.3
5.4377802;-4.0142744;-80.3
5.4377748;-4.0143191;-83.0
5.4377747;-4.0143612;-84.3
5.4377672;-4.0144014;-89.0
5.4377439;-4.0144225;-88.0
5.4377088;-4.0144184;-86.7
5.437708;-4.0143865;-87.0
5.437722;-4.014349;-83.0
